"PMID","tsneClusterNames","sentence","clustSummary"
"50e8d64761dddc0b7ce037734d813eca7cd63701","bat-speci","how- ever, a relatively high prevalence of cov rna was detected in bats of 2 species collected at several different sites: 12% for big brown bats and 8% for long-legged bats, and at lower prevalence, 3% in little brown bats and 2% in western long-eared bats.","how- ever, a relatively high prevalence of cov rna was detected in bats of 2 species collected at several different sites: 12% for big brown bats and 8% for long-legged bats, and at lower prevalence, 3% in little brown bats and 2% in western long-eared bats.....respondents were able to indicate significantly more threats to bats t (24) =´2.916, p = 0.008, more ways that they could help bats t (24) =´5.308, p < 0.001, and more ways in which bats benefit the environment t (24) =´6.245, p < 0.001 after attending the great lakes bat festival.....the highest prevalence of 65% (24/37) was observed for bat gammaherpesvirus 6 (batghv6) in common pipistrelle bats (p. pipistrellus), followed by bat gammaherpesvirus 5 (batghv5, 42.1%) in nathusius' pipistrelle bats (p. nathusii) and bat gammaherpesvirus 4 (batghv4, 33.8%) in noctule bats (n. noctula).....however, studies from wild or experimental bats indicate that most of these lethal viruses in humans and other mammals cause only asymptomatic infection in bats, suggesting a potentially special immune system in bats that is different from most other mammals [16, 17] .....a large number of novel bat virus sequences 24 was identified in these two bat suborders, which diverged over 50 million years ago, suggesting a 25 long co-evolutionary history of bats and their viruses that have shaped unique host-pathogen 26 relationships 19 ."
"2bc8716c8d60412f241f096246127275b734635b","bat-speci","respondents were able to indicate significantly more threats to bats t (24) =´2.916, p = 0.008, more ways that they could help bats t (24) =´5.308, p < 0.001, and more ways in which bats benefit the environment t (24) =´6.245, p < 0.001 after attending the great lakes bat festival.","how- ever, a relatively high prevalence of cov rna was detected in bats of 2 species collected at several different sites: 12% for big brown bats and 8% for long-legged bats, and at lower prevalence, 3% in little brown bats and 2% in western long-eared bats.....respondents were able to indicate significantly more threats to bats t (24) =´2.916, p = 0.008, more ways that they could help bats t (24) =´5.308, p < 0.001, and more ways in which bats benefit the environment t (24) =´6.245, p < 0.001 after attending the great lakes bat festival.....the highest prevalence of 65% (24/37) was observed for bat gammaherpesvirus 6 (batghv6) in common pipistrelle bats (p. pipistrellus), followed by bat gammaherpesvirus 5 (batghv5, 42.1%) in nathusius' pipistrelle bats (p. nathusii) and bat gammaherpesvirus 4 (batghv4, 33.8%) in noctule bats (n. noctula).....however, studies from wild or experimental bats indicate that most of these lethal viruses in humans and other mammals cause only asymptomatic infection in bats, suggesting a potentially special immune system in bats that is different from most other mammals [16, 17] .....a large number of novel bat virus sequences 24 was identified in these two bat suborders, which diverged over 50 million years ago, suggesting a 25 long co-evolutionary history of bats and their viruses that have shaped unique host-pathogen 26 relationships 19 ."
"550494d6d01569a05a8ca2d75f892486b01d1865","bat-speci","the highest prevalence of 65% (24/37) was observed for bat gammaherpesvirus 6 (batghv6) in common pipistrelle bats (p. pipistrellus), followed by bat gammaherpesvirus 5 (batghv5, 42.1%) in nathusius' pipistrelle bats (p. nathusii) and bat gammaherpesvirus 4 (batghv4, 33.8%) in noctule bats (n. noctula).","how- ever, a relatively high prevalence of cov rna was detected in bats of 2 species collected at several different sites: 12% for big brown bats and 8% for long-legged bats, and at lower prevalence, 3% in little brown bats and 2% in western long-eared bats.....respondents were able to indicate significantly more threats to bats t (24) =´2.916, p = 0.008, more ways that they could help bats t (24) =´5.308, p < 0.001, and more ways in which bats benefit the environment t (24) =´6.245, p < 0.001 after attending the great lakes bat festival.....the highest prevalence of 65% (24/37) was observed for bat gammaherpesvirus 6 (batghv6) in common pipistrelle bats (p. pipistrellus), followed by bat gammaherpesvirus 5 (batghv5, 42.1%) in nathusius' pipistrelle bats (p. nathusii) and bat gammaherpesvirus 4 (batghv4, 33.8%) in noctule bats (n. noctula).....however, studies from wild or experimental bats indicate that most of these lethal viruses in humans and other mammals cause only asymptomatic infection in bats, suggesting a potentially special immune system in bats that is different from most other mammals [16, 17] .....a large number of novel bat virus sequences 24 was identified in these two bat suborders, which diverged over 50 million years ago, suggesting a 25 long co-evolutionary history of bats and their viruses that have shaped unique host-pathogen 26 relationships 19 ."
"0d5f9dd2c1626d1d3a4228b838fc0bc666363a3c","bat-speci","however, studies from wild or experimental bats indicate that most of these lethal viruses in humans and other mammals cause only asymptomatic infection in bats, suggesting a potentially special immune system in bats that is different from most other mammals [16, 17] .","how- ever, a relatively high prevalence of cov rna was detected in bats of 2 species collected at several different sites: 12% for big brown bats and 8% for long-legged bats, and at lower prevalence, 3% in little brown bats and 2% in western long-eared bats.....respondents were able to indicate significantly more threats to bats t (24) =´2.916, p = 0.008, more ways that they could help bats t (24) =´5.308, p < 0.001, and more ways in which bats benefit the environment t (24) =´6.245, p < 0.001 after attending the great lakes bat festival.....the highest prevalence of 65% (24/37) was observed for bat gammaherpesvirus 6 (batghv6) in common pipistrelle bats (p. pipistrellus), followed by bat gammaherpesvirus 5 (batghv5, 42.1%) in nathusius' pipistrelle bats (p. nathusii) and bat gammaherpesvirus 4 (batghv4, 33.8%) in noctule bats (n. noctula).....however, studies from wild or experimental bats indicate that most of these lethal viruses in humans and other mammals cause only asymptomatic infection in bats, suggesting a potentially special immune system in bats that is different from most other mammals [16, 17] .....a large number of novel bat virus sequences 24 was identified in these two bat suborders, which diverged over 50 million years ago, suggesting a 25 long co-evolutionary history of bats and their viruses that have shaped unique host-pathogen 26 relationships 19 ."
"87bfa13221ccf5a02d4a888ef1320b57f2c2d5e2","bat-speci","a large number of novel bat virus sequences 24 was identified in these two bat suborders, which diverged over 50 million years ago, suggesting a 25 long co-evolutionary history of bats and their viruses that have shaped unique host-pathogen 26 relationships 19 .","how- ever, a relatively high prevalence of cov rna was detected in bats of 2 species collected at several different sites: 12% for big brown bats and 8% for long-legged bats, and at lower prevalence, 3% in little brown bats and 2% in western long-eared bats.....respondents were able to indicate significantly more threats to bats t (24) =´2.916, p = 0.008, more ways that they could help bats t (24) =´5.308, p < 0.001, and more ways in which bats benefit the environment t (24) =´6.245, p < 0.001 after attending the great lakes bat festival.....the highest prevalence of 65% (24/37) was observed for bat gammaherpesvirus 6 (batghv6) in common pipistrelle bats (p. pipistrellus), followed by bat gammaherpesvirus 5 (batghv5, 42.1%) in nathusius' pipistrelle bats (p. nathusii) and bat gammaherpesvirus 4 (batghv4, 33.8%) in noctule bats (n. noctula).....however, studies from wild or experimental bats indicate that most of these lethal viruses in humans and other mammals cause only asymptomatic infection in bats, suggesting a potentially special immune system in bats that is different from most other mammals [16, 17] .....a large number of novel bat virus sequences 24 was identified in these two bat suborders, which diverged over 50 million years ago, suggesting a 25 long co-evolutionary history of bats and their viruses that have shaped unique host-pathogen 26 relationships 19 ."
"33f0a6576216e3c8ff02dcb1affaa66c9f08e30b","ifn-respons","ifn-γ has antiviral activity, but the most important effects of ifn-γ seem to be activation of macro-phages, antigen-presenting cells, and nk cells and inhibition of t-helper type 2 (th2) cells, resulting in a th1driven cell-mediated response to infection  .","ifn-γ has antiviral activity, but the most important effects of ifn-γ seem to be activation of macro-phages, antigen-presenting cells, and nk cells and inhibition of t-helper type 2 (th2) cells, resulting in a th1driven cell-mediated response to infection  .....mef cells were treated with mouse ifn-b at 1, 10, 50 or 100 u/ ml for 16 hrs before and after virus infection, meanwhile vero cells and a549 cells were treated with human ifn-a, ifn-b or ifn-c for 16 hrs before and after infection at 125, 250, 500 or 1000 u/ml (fig 1) .....moreover, the effect of type i ifn against hpev1 was inconsistent between a549 and t84 cells in that type i ifn pretreatment inhibited hpev1 infection in a549 but not t84 cells perhaps because of the lower sensitivity of type i ifn signaling in t84 cells.....nevertheless, the results obtained for rig-i, ifn-1, ifn-2/3, and ip-10 clearly demonstrate that dd778 can boost the innate immune response in virus-infected cells, in particular the expression of type iii ifns, which were produced at high levels in this system.....interestingly, we observed a significant increase of ifn-␤ mrna in cells infected with nh/p68 from 4 to 16 hpi, indicating that cellular signaling leading to ifn-␤ transcription is activated during the course of the infection with the attenuated virus."
"38aa050ad79d8a1d7022c33535255ce9d47914e5","ifn-respons","mef cells were treated with mouse ifn-b at 1, 10, 50 or 100 u/ ml for 16 hrs before and after virus infection, meanwhile vero cells and a549 cells were treated with human ifn-a, ifn-b or ifn-c for 16 hrs before and after infection at 125, 250, 500 or 1000 u/ml (fig 1) .","ifn-γ has antiviral activity, but the most important effects of ifn-γ seem to be activation of macro-phages, antigen-presenting cells, and nk cells and inhibition of t-helper type 2 (th2) cells, resulting in a th1driven cell-mediated response to infection  .....mef cells were treated with mouse ifn-b at 1, 10, 50 or 100 u/ ml for 16 hrs before and after virus infection, meanwhile vero cells and a549 cells were treated with human ifn-a, ifn-b or ifn-c for 16 hrs before and after infection at 125, 250, 500 or 1000 u/ml (fig 1) .....moreover, the effect of type i ifn against hpev1 was inconsistent between a549 and t84 cells in that type i ifn pretreatment inhibited hpev1 infection in a549 but not t84 cells perhaps because of the lower sensitivity of type i ifn signaling in t84 cells.....nevertheless, the results obtained for rig-i, ifn-1, ifn-2/3, and ip-10 clearly demonstrate that dd778 can boost the innate immune response in virus-infected cells, in particular the expression of type iii ifns, which were produced at high levels in this system.....interestingly, we observed a significant increase of ifn-␤ mrna in cells infected with nh/p68 from 4 to 16 hpi, indicating that cellular signaling leading to ifn-␤ transcription is activated during the course of the infection with the attenuated virus."
"da26991502da97b746b148ad17cb2b435ef8e0cb","ifn-respons","moreover, the effect of type i ifn against hpev1 was inconsistent between a549 and t84 cells in that type i ifn pretreatment inhibited hpev1 infection in a549 but not t84 cells perhaps because of the lower sensitivity of type i ifn signaling in t84 cells.","ifn-γ has antiviral activity, but the most important effects of ifn-γ seem to be activation of macro-phages, antigen-presenting cells, and nk cells and inhibition of t-helper type 2 (th2) cells, resulting in a th1driven cell-mediated response to infection  .....mef cells were treated with mouse ifn-b at 1, 10, 50 or 100 u/ ml for 16 hrs before and after virus infection, meanwhile vero cells and a549 cells were treated with human ifn-a, ifn-b or ifn-c for 16 hrs before and after infection at 125, 250, 500 or 1000 u/ml (fig 1) .....moreover, the effect of type i ifn against hpev1 was inconsistent between a549 and t84 cells in that type i ifn pretreatment inhibited hpev1 infection in a549 but not t84 cells perhaps because of the lower sensitivity of type i ifn signaling in t84 cells.....nevertheless, the results obtained for rig-i, ifn-1, ifn-2/3, and ip-10 clearly demonstrate that dd778 can boost the innate immune response in virus-infected cells, in particular the expression of type iii ifns, which were produced at high levels in this system.....interestingly, we observed a significant increase of ifn-␤ mrna in cells infected with nh/p68 from 4 to 16 hpi, indicating that cellular signaling leading to ifn-␤ transcription is activated during the course of the infection with the attenuated virus."
"ac6b3fe26ffb1e6b3b34200c9053a724e81f2d7a","ifn-respons","nevertheless, the results obtained for rig-i, ifn-1, ifn-2/3, and ip-10 clearly demonstrate that dd778 can boost the innate immune response in virus-infected cells, in particular the expression of type iii ifns, which were produced at high levels in this system.","ifn-γ has antiviral activity, but the most important effects of ifn-γ seem to be activation of macro-phages, antigen-presenting cells, and nk cells and inhibition of t-helper type 2 (th2) cells, resulting in a th1driven cell-mediated response to infection  .....mef cells were treated with mouse ifn-b at 1, 10, 50 or 100 u/ ml for 16 hrs before and after virus infection, meanwhile vero cells and a549 cells were treated with human ifn-a, ifn-b or ifn-c for 16 hrs before and after infection at 125, 250, 500 or 1000 u/ml (fig 1) .....moreover, the effect of type i ifn against hpev1 was inconsistent between a549 and t84 cells in that type i ifn pretreatment inhibited hpev1 infection in a549 but not t84 cells perhaps because of the lower sensitivity of type i ifn signaling in t84 cells.....nevertheless, the results obtained for rig-i, ifn-1, ifn-2/3, and ip-10 clearly demonstrate that dd778 can boost the innate immune response in virus-infected cells, in particular the expression of type iii ifns, which were produced at high levels in this system.....interestingly, we observed a significant increase of ifn-␤ mrna in cells infected with nh/p68 from 4 to 16 hpi, indicating that cellular signaling leading to ifn-␤ transcription is activated during the course of the infection with the attenuated virus."
"2544d85288aa39f592b1e172f8c62040bc1b2ba6","ifn-respons","interestingly, we observed a significant increase of ifn-␤ mrna in cells infected with nh/p68 from 4 to 16 hpi, indicating that cellular signaling leading to ifn-␤ transcription is activated during the course of the infection with the attenuated virus.","ifn-γ has antiviral activity, but the most important effects of ifn-γ seem to be activation of macro-phages, antigen-presenting cells, and nk cells and inhibition of t-helper type 2 (th2) cells, resulting in a th1driven cell-mediated response to infection  .....mef cells were treated with mouse ifn-b at 1, 10, 50 or 100 u/ ml for 16 hrs before and after virus infection, meanwhile vero cells and a549 cells were treated with human ifn-a, ifn-b or ifn-c for 16 hrs before and after infection at 125, 250, 500 or 1000 u/ml (fig 1) .....moreover, the effect of type i ifn against hpev1 was inconsistent between a549 and t84 cells in that type i ifn pretreatment inhibited hpev1 infection in a549 but not t84 cells perhaps because of the lower sensitivity of type i ifn signaling in t84 cells.....nevertheless, the results obtained for rig-i, ifn-1, ifn-2/3, and ip-10 clearly demonstrate that dd778 can boost the innate immune response in virus-infected cells, in particular the expression of type iii ifns, which were produced at high levels in this system.....interestingly, we observed a significant increase of ifn-␤ mrna in cells infected with nh/p68 from 4 to 16 hpi, indicating that cellular signaling leading to ifn-␤ transcription is activated during the course of the infection with the attenuated virus."
